Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,318.0,318.0,318.0,318.0
150.0,318.0,335.76,319.71,336.25529255000004
300.0,318.0,341.37,321.03,341.8348732
450.0,318.0,345.95,322.25,346.4322952
600.0,318.02,349.41,323.4,349.87956535999996
750.0,318.07,352.28,324.47,352.7517596
900.0,318.16,355.14,325.53,355.62395384
1050.0,318.3,357.75,326.57,358.23494445
1200.0,318.5,359.84,327.56,360.3235278
1350.0,318.75,361.92,328.53,362.41211115
1500.0,319.06,364.01,329.48,364.5006945
1650.0,319.41,365.68,330.39,366.1602514772727
1800.0,319.81,367.33,331.29,367.81980845454547
1950.0,320.26,368.99,332.19,369.47936543181817
2100.0,320.73,370.64,333.09,371.1389224090909
2250.0,321.24,372.13,333.98,372.6229354125
2400.0,321.78,373.49,334.86,373.9899191
2550.0,322.35,374.85,335.73,375.3569027875
2700.0,322.94,376.22,336.6,376.72388647500003
2850.0,323.55,377.58,337.47,378.09087016250004
3000.0,324.18,378.79,338.34,379.30355575000004
3150.0,324.83,379.97,339.2,380.4776668125
3300.0,325.49,381.14,340.05,381.651777875
3450.0,326.17,382.31,340.91,382.8258889375
3600.0,326.86,383.48,341.77,384.0
3750.0,327.57,384.52,342.62,385.04023916666665
3900.0,328.28,385.56,343.46,386.08047833333336
4050.0,329.01,386.6,344.31,387.1207175
4200.0,329.74,387.64,345.15,388.16095666666666
4350.0,330.49,388.66,346.0,389.18128264583333
4500.0,331.24,389.6,346.84,390.121955875
4650.0,332.0,390.54,347.67,391.06262910416666
4800.0,332.76,391.48,348.5,392.00330233333335
4950.0,333.53,392.42,349.34,392.9439755625
5100.0,334.3,393.33,350.17,393.8536085083333
5250.0,335.08,394.2,351.0,394.71668102916664
5400.0,335.87,395.06,351.82,395.57975354999996
5550.0,336.65,395.92,352.64,396.44282607083335
5700.0,337.44,396.79,353.47,397.3058985916667
5850.0,338.24,397.61,354.29,398.1314306625
6000.0,339.03,398.41,355.1,398.93193576666664
6150.0,339.83,399.22,355.91,399.73244087083333
6300.0,340.63,400.02,356.72,400.53294597499996
6450.0,341.43,400.82,357.53,401.33345107916665
6600.0,342.24,401.58,358.34,402.0925471
6750.0,343.04,402.33,359.14,402.84129085
6900.0,343.85,403.08,359.94,403.59003459999997
7050.0,344.65,403.83,360.74,404.33877835
7200.0,345.46,404.58,361.54,405.0875221
7350.0,346.26,405.28,362.33,405.7925703083333
7500.0,347.07,405.99,363.12,406.49761851666665
7650.0,347.87,406.7,363.9,407.202666725
7800.0,348.68,407.4,364.68,407.9077149333333
7950.0,349.49,408.1,365.47,408.60526461666666
8100.0,350.26,408.79,366.21,409.27282019999996
8250.0,351.03,409.45,366.95,409.9403757833333
8400.0,351.8,410.12,367.69,410.60793136666666
8550.0,352.57,410.79,368.42,411.27548695
8700.0,353.33,411.45,369.16,411.9300005416667
8850.0,354.1,412.08,369.89,412.56495114583333
9000.0,354.86,412.72,370.62,413.19990175
9150.0,355.62,413.36,371.35,413.8348523541667
9300.0,356.38,413.99,372.08,414.46980295833333
9450.0,357.14,414.61,372.8,415.0875483125
9600.0,357.9,415.22,373.52,415.6938235
9750.0,358.65,415.83,374.24,416.3000986875
9900.0,359.41,416.43,374.96,416.906373875
10050.0,360.16,417.04,375.67,417.5126490625
10200.0,360.91,417.63,376.38,418.09855473333334
10350.0,361.66,418.21,377.09,418.679368025
10500.0,362.41,418.79,377.8,419.26018131666666
10650.0,363.15,419.38,378.5,419.8409946083333
10800.0,363.9,419.96,379.2,420.4218079
10950.0,364.64,420.52,379.9,420.97982562916667
11100.0,365.38,421.08,380.59,421.5378433583333
11250.0,366.11,421.64,381.28,422.0958610875
11400.0,366.85,422.2,381.97,422.6538788166667
11550.0,367.58,422.75,382.66,423.2077854958334
11700.0,368.32,423.29,383.34,423.745247975
11850.0,369.04,423.83,384.02,424.28271045416665
12000.0,369.77,424.37,384.7,424.8201729333333
12150.0,370.5,424.91,385.38,425.3576354125
12300.0,371.22,425.44,386.05,425.887637025
12450.0,371.94,425.96,386.72,426.40644733749997
12600.0,372.66,426.48,387.38,426.92525765
12750.0,373.37,427.0,388.05,427.4440679625
12900.0,374.09,427.52,388.71,427.962878275
13050.0,374.8,428.03,389.37,428.4714767
13200.0,375.51,428.54,390.02,428.9732672
13350.0,376.21,429.04,390.68,429.47505770000004
13500.0,376.92,429.54,391.33,429.9768482
13650.0,377.62,430.05,391.97,430.47863870000003
13800.0,378.32,430.54,392.62,430.9679430666667
13950.0,379.01,431.03,393.26,431.4541259
14100.0,379.71,431.51,393.9,431.9403087333334
14250.0,380.4,432.0,394.53,432.4264915666667
14400.0,381.09,432.49,395.17,432.9126744
