Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,432.0,432.0,432.0,432.0
150.0,432.0,429.72,431.64,429.71875
300.0,432.0,427.44,431.17,427.4375
450.0,432.0,425.16,430.64,425.15625
600.0,432.0,422.88,430.06,422.875
750.0,431.99,420.6,429.44,420.59375
900.0,431.98,418.32,428.78,418.3125
1050.0,431.97,416.04,428.09,416.03125
1200.0,431.93,413.76,427.36,413.75
1350.0,431.88,411.48,426.61,411.46875
1500.0,431.82,409.2,425.83,409.1875
1650.0,431.73,406.91,425.03,406.90625
1800.0,431.62,404.63,424.21,404.625
1950.0,431.48,402.35,423.36,402.34375
2100.0,431.32,400.07,422.48,400.0625
2250.0,431.14,397.79,421.59,397.78125
2400.0,430.93,395.51,420.68,395.5
2550.0,430.69,393.23,419.75,393.21875
2700.0,430.43,390.95,418.79,390.9375
2850.0,430.14,388.67,417.82,388.65625
3000.0,429.82,386.39,416.83,386.375
3150.0,429.48,384.11,415.82,384.09375
3300.0,429.11,381.83,414.79,381.8125
3450.0,428.72,379.54,413.74,379.53125
3600.0,428.3,377.26,412.68,377.25
3750.0,427.85,374.98,411.59,374.96875
3900.0,427.38,372.7,410.5,372.6875
4050.0,426.88,370.42,409.38,370.40625
4200.0,426.36,368.14,408.25,368.125
4350.0,425.82,365.86,407.1,365.84375
4500.0,425.25,363.58,405.94,363.5625
4650.0,424.65,361.3,404.76,361.28125
4800.0,424.04,359.02,403.57,359.0
4950.0,423.4,356.74,402.36,356.71875
5100.0,422.73,354.45,401.14,354.4375
5250.0,422.05,352.17,399.9,352.15625
5400.0,421.34,349.89,398.65,349.875
5550.0,420.61,347.61,397.38,347.59375
5700.0,419.86,345.33,396.1,345.3125
5850.0,419.09,343.05,394.8,343.03125
6000.0,418.29,340.77,393.47,340.75
6150.0,417.48,338.49,392.11,338.46875
6300.0,416.64,336.21,390.74,336.1875
6450.0,415.78,333.93,389.36,333.90625
6600.0,414.91,331.64,387.97,331.625
6750.0,414.01,329.36,386.57,329.34375
6900.0,413.09,327.08,385.16,327.0625
7050.0,412.14,324.8,383.74,324.78125
7200.0,411.18,322.52,382.31,322.5
7350.0,410.2,320.24,380.86,320.21875
7500.0,409.19,317.96,379.41,317.9375
7650.0,408.17,315.68,377.94,315.65625
7800.0,407.13,313.4,376.47,313.375
7950.0,406.07,311.12,374.98,311.09375
8100.0,404.99,308.83,373.48,308.8125
8250.0,403.9,306.55,371.97,306.53125
8400.0,402.79,304.27,370.44,304.25
8550.0,401.66,301.99,368.91,301.96875
8700.0,400.51,299.71,367.37,299.6875
8850.0,399.35,297.43,365.82,297.40625
9000.0,398.17,295.15,364.23,295.125
9150.0,396.97,292.87,362.6,292.84375
9300.0,395.75,290.59,360.96,290.5625
9450.0,394.51,288.31,359.32,288.28125
9600.0,393.25,286.03,357.68,286.0
9750.0,391.97,283.74,356.03,283.71875
9900.0,390.67,281.46,354.37,281.4375
10050.0,389.35,279.18,352.7,279.15625
10200.0,388.02,276.9,351.02,276.875
10350.0,386.67,274.62,349.34,274.59375
10500.0,385.31,272.34,347.65,272.3125
10650.0,383.93,270.06,345.95,270.03125
10800.0,382.54,267.78,344.24,267.75
10950.0,381.13,265.5,342.52,265.46875
11100.0,379.72,263.21,340.8,263.1875
11250.0,378.28,260.93,339.07,260.90625
11400.0,376.84,258.65,337.32,258.625
11550.0,375.38,256.37,335.58,256.34375
11700.0,373.91,254.09,333.82,254.0625
11850.0,372.43,251.81,332.06,251.78125
12000.0,370.91,249.53,330.24,249.5
12150.0,369.35,247.25,328.4,247.21875
12300.0,367.78,244.97,326.55,244.9375
12450.0,366.19,242.69,324.7,242.65625
12600.0,364.59,240.4,322.84,240.375
12750.0,362.98,238.12,320.98,238.09375
12900.0,361.35,235.84,319.11,235.8125
13050.0,359.71,233.56,317.24,233.53125
13200.0,358.06,231.28,315.36,231.25
13350.0,356.4,229.0,313.48,228.96875
13500.0,354.73,226.72,311.59,226.6875
13650.0,353.05,224.44,309.69,224.40625
13800.0,351.36,222.16,307.79,222.125
13950.0,349.66,219.87,305.89,219.84375
14100.0,347.95,217.59,303.98,217.5625
14250.0,346.24,215.31,302.06,215.28125
14400.0,344.51,213.03,300.14,213.0
