Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,210.0,210.0,210.0,210.0
150.0,210.0,219.41,210.95,219.68083695
300.0,210.0,222.39,211.7,222.63970550000002
450.0,210.0,224.81,212.38,225.0777323
600.0,210.02,226.65,213.02,226.9058301
750.0,210.06,228.17,213.62,228.4289634
900.0,210.14,229.69,214.21,229.9520967
1050.0,210.25,231.07,214.8,231.33671292999998
1200.0,210.4,232.18,215.35,232.44429502
1350.0,210.58,233.28,215.9,233.55187711
1500.0,210.79,234.39,216.45,234.6594592
1650.0,211.04,235.27,216.97,235.5395272909091
1800.0,211.31,236.15,217.49,236.41959538181817
1950.0,211.6,237.02,218.01,237.29966347272727
2100.0,211.91,237.9,218.53,238.17973156363638
2250.0,212.24,238.69,219.04,238.96670815000002
2400.0,212.59,239.41,219.55,239.69162373333333
2550.0,212.95,240.14,220.05,240.41653931666667
2700.0,213.32,240.86,220.55,241.1414549
2850.0,213.71,241.58,221.05,241.86637048333333
3000.0,214.1,242.23,221.55,242.50946133333335
3150.0,214.51,242.85,222.05,243.132096
3300.0,214.92,243.47,222.54,243.75473066666666
3450.0,215.34,244.09,223.03,244.37736533333333
3600.0,215.77,244.71,223.53,245.0
3750.0,216.2,245.27,224.02,245.55164197916667
3900.0,216.63,245.82,224.5,246.10328395833335
4050.0,217.08,246.37,224.99,246.6549259375
4200.0,217.52,246.92,225.47,247.20656791666667
4350.0,217.97,247.46,225.96,247.747649875
4500.0,218.42,247.96,226.44,248.24649175000002
4650.0,218.88,248.46,226.92,248.745333625
4800.0,219.34,248.96,227.4,249.2441755
4950.0,219.8,249.46,227.87,249.74301737500002
5100.0,220.26,249.94,228.35,250.22539849166668
5250.0,220.72,250.4,228.82,250.68308847083333
5400.0,221.19,250.86,229.29,251.14077845
5550.0,221.65,251.31,229.76,251.59846842916667
5700.0,222.12,251.77,230.23,252.05615840833332
5850.0,222.59,252.21,230.7,252.4939405625
6000.0,223.05,252.64,231.16,252.91845083333334
6150.0,223.52,253.06,231.62,253.34296110416668
6300.0,223.99,253.49,232.08,253.767471375
6450.0,224.46,253.91,232.54,254.19198164583335
6600.0,224.93,254.32,233.0,254.5945325666667
6750.0,225.4,254.71,233.46,254.99159365000003
6900.0,225.86,255.12,233.91,255.38865473333334
7050.0,226.32,255.52,234.34,255.78571581666668
7200.0,226.78,255.91,234.77,256.1827769
7350.0,227.23,256.29,235.2,256.5566660875
7500.0,227.69,256.66,235.64,256.930555275
7650.0,228.14,257.04,236.07,257.3044444625
7800.0,228.59,257.41,236.49,257.67833365
7950.0,229.04,257.78,236.92,258.0482463541667
8100.0,229.49,258.14,237.35,258.402253125
8250.0,229.94,258.49,237.77,258.7562598958333
8400.0,230.38,258.85,238.19,259.11026666666663
8550.0,230.83,259.2,238.61,259.46427343749997
8700.0,231.27,259.55,239.03,259.8113639833333
8850.0,231.71,259.89,239.45,260.1480801916667
9000.0,232.15,260.23,239.86,260.4847964
9150.0,232.59,260.56,240.28,260.8215126083333
9300.0,233.03,260.9,240.69,261.1582288166667
9450.0,233.47,261.23,241.1,261.4858210375
9600.0,233.9,261.55,241.5,261.8073306
9750.0,234.33,261.88,241.91,262.1288401625
9900.0,234.77,262.2,242.31,262.450349725
10050.0,235.2,262.52,242.71,262.7718592875
10200.0,235.62,262.83,243.11,263.08256685
10350.0,236.05,263.14,243.51,263.39057391250003
10500.0,236.48,263.45,243.9,263.698580975
10650.0,236.9,263.76,244.29,264.0065880375
10800.0,237.32,264.07,244.68,264.3145951
10950.0,237.75,264.37,245.07,264.6105136
11100.0,238.16,264.66,245.46,264.9064321
11250.0,238.58,264.96,245.85,265.2023506
11400.0,239.0,265.26,246.23,265.4982691
11550.0,239.41,265.55,246.61,265.79200749583333
11700.0,239.82,265.84,246.99,266.07702547499997
11850.0,240.23,266.13,247.37,266.36204345416667
12000.0,240.64,266.41,247.74,266.6470614333333
12150.0,241.05,266.7,248.11,266.9320794125
12300.0,241.45,266.98,248.49,267.213140875
12450.0,241.85,267.26,248.86,267.4882675625
12600.0,242.26,267.53,249.22,267.76339425000003
12750.0,242.65,267.81,249.59,268.0385209375
12900.0,243.05,268.09,249.95,268.313647625
13050.0,243.45,268.36,250.31,268.5833589
13200.0,243.84,268.62,250.67,268.8494599
13350.0,244.23,268.89,251.03,269.1155609
13500.0,244.62,269.16,251.39,269.3816619
13650.0,245.01,269.42,251.74,269.6477629
13800.0,245.4,269.69,252.09,269.90724248333333
13950.0,245.78,269.94,252.44,270.1650667125
14100.0,246.16,270.2,252.79,270.42289094166665
14250.0,246.54,270.46,253.14,270.68071517083337
14400.0,246.92,270.72,253.48,270.9385394
