Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,123.8257877,123.8257877,123.8257877,123.8257877
150.0,123.8257877,123.8257877,123.8257877,123.8257877
300.0,123.8257877,123.8257877,123.8257877,123.8257877
450.0,123.8257877,123.8257877,123.8257877,123.8257877
600.0,123.8257877,123.8257877,123.8257877,123.8257877
750.0,123.8257877,123.8257877,123.8257877,123.8257877
900.0,123.8257877,123.8257877,123.8257877,123.8257877
1050.0,123.8257877,123.8257877,123.8257877,123.8257877
1200.0,123.8257877,123.8257877,123.8257877,123.8257877
1350.0,123.8257877,123.8257877,123.8257877,123.8257877
1500.0,123.83,125.97,124.03,126.05435088750001
1650.0,123.83,127.27,124.27,127.376275025
1800.0,123.83,129.94,124.7,130.05768535
1950.0,123.83,129.53,124.91,129.61511051666668
2100.0,123.85,130.59,125.14,130.74155132916667
2250.0,123.89,133.84,125.69,134.01126275
2400.0,123.94,134.42,126.09,134.55758996666665
2550.0,124.01,134.23,126.35,134.34486243333333
2700.0,124.1,134.98,126.62,135.1419147625
2850.0,124.22,136.99,127.08,137.17565836666665
3000.0,124.35,138.59,127.55,138.7920632625
3150.0,124.51,139.81,128.04,140.00745235
3300.0,124.68,141.14,128.51,141.37048687916666
3450.0,124.87,142.68,129.05,142.913364075
3600.0,125.08,142.93,129.5,143.1152860125
3750.0,125.32,143.72,129.91,143.9511331
3900.0,125.57,145.2,130.43,145.44856125
4050.0,125.85,146.67,130.98,146.933860275
4200.0,126.14,148.12,131.56,148.39041572916668
4350.0,126.45,149.67,132.17,149.95696158333334
4500.0,126.77,148.42,132.57,148.6010284875
4650.0,127.11,151.48,133.17,151.8286385083333
4800.0,127.47,154.55,134.0,154.9216374416667
4950.0,127.85,153.69,134.55,153.9332986
5100.0,128.24,156.8,135.3,157.15941956666668
5250.0,128.65,157.49,135.98,157.81871043333334
5400.0,129.08,158.41,136.63,158.74742645
5550.0,129.53,159.58,137.31,159.89120083333336
5700.0,130.0,159.65,137.85,159.9933849375
5850.0,130.48,162.44,138.64,162.837581975
6000.0,130.98,164.55,139.52,164.914813475
6150.0,131.5,164.72,140.19,165.0793564
6300.0,132.03,165.65,140.89,166.0005450875
6450.0,132.58,166.67,141.57,167.05889565
6600.0,133.14,168.44,142.36,168.83980162083333
6750.0,133.71,169.93,143.14,170.3293673
6900.0,134.29,170.86,143.89,171.24348960416665
7050.0,134.87,171.81,144.6,172.20673119166668
7200.0,135.47,174.45,145.47,174.9261363375
7350.0,136.09,173.86,146.22,174.1689943
7500.0,136.71,176.65,146.99,177.17050412083333
7650.0,137.34,177.91,147.93,178.3105342
7800.0,137.99,179.16,148.74,179.61204057083333
7950.0,138.65,178.43,149.43,178.77987305
8100.0,139.32,180.08,150.17,180.52569916250002
8250.0,140.0,181.74,151.03,182.19593826666667
8400.0,140.69,183.67,151.94,184.1435165375
8550.0,141.39,182.95,152.65,183.3297993
8700.0,142.1,186.16,153.6,186.65144757083334
8850.0,142.82,185.94,154.38,186.39373923333335
9000.0,143.55,188.39,155.31,188.8894607375
9150.0,144.28,190.11,156.28,190.59813991666664
9300.0,145.03,191.23,157.19,191.7344711458333
9450.0,145.78,193.06,158.17,193.5634944
9600.0,146.55,193.81,159.09,194.27278986666667
9750.0,147.32,194.16,159.89,194.65174693333333
9900.0,148.11,195.58,160.82,196.05651845
10050.0,148.92,195.93,161.63,196.39836774166665
10200.0,149.73,197.91,162.54,198.45790976666666
10350.0,150.54,199.95,163.61,200.46243785000001
10500.0,151.37,200.71,164.52,201.2202750875
10650.0,152.2,202.46,165.51,203.00860805
10800.0,153.03,203.94,166.53,204.46328755000002
10950.0,153.88,204.91,167.49,205.43166203333334
11100.0,154.74,206.68,168.5,207.23773661666667
11250.0,155.6,207.97,169.53,208.509904925
11400.0,156.48,208.61,170.48,209.13351875833334
11550.0,157.36,208.96,171.37,209.46465963333333
11700.0,158.26,210.07,172.28,210.5935954625
11850.0,159.16,212.93,173.38,213.53846394166666
12000.0,160.07,211.8,174.25,212.2550001125
12150.0,160.97,214.41,175.24,214.9755381
12300.0,161.84,213.92,176.06,214.42487551666667
12450.0,162.72,217.91,177.19,218.50726619166667
12600.0,163.59,218.95,178.23,219.504147025
12750.0,164.47,219.44,179.17,219.98916221666667
12900.0,165.36,220.17,180.11,220.6759447375
13050.0,166.25,220.21,180.91,220.78058015
13200.0,167.14,223.0,182.02,223.52220353333334
13350.0,168.05,222.25,182.82,222.7652833
13500.0,168.95,224.23,183.77,224.83042495
13650.0,169.86,226.59,184.91,227.151427575
13800.0,170.77,227.82,185.91,228.42483931666666
13950.0,171.69,229.94,187.04,230.5442342
14100.0,172.61,231.42,188.14,232.02488659583332
14250.0,173.53,231.9,189.16,232.45421240000002
14400.0,174.47,233.16,190.14,233.7716763375
14550.0,175.41,234.63,191.22,235.21688146666668
14700.0,176.36,236.25,192.29,236.864484325
14850.0,177.32,237.51,193.38,238.10863532500002
15000.0,178.29,238.96,194.45,239.5725277125
15150.0,179.26,239.47,195.48,240.03969981666665
15300.0,180.24,240.51,196.48,241.10470645
15450.0,181.23,242.77,197.61,243.41152549166668
15600.0,182.22,241.26,198.48,241.75682070416667
15750.0,183.22,243.86,199.53,244.4954136
