Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,230.0777525,230.0777525,230.0777525,230.0777525
150.0,230.08,229.66,230.01,229.65769698333335
300.0,230.08,230.32,230.09,230.32545890833333
450.0,230.08,232.82,230.53,232.8230289625
600.0,230.08,233.73,230.84,233.72923441666666
750.0,230.08,233.07,230.81,233.06776645833332
900.0,230.08,237.17,231.55,237.1752271
1050.0,230.09,240.76,232.47,240.7616336
1200.0,230.11,241.24,232.85,241.2468366
1350.0,230.14,242.75,233.43,242.7544040875
1500.0,230.19,243.52,233.79,243.52534723333332
1650.0,230.26,247.12,234.7,247.13057743333331
1800.0,230.35,247.61,235.25,247.613777
1950.0,230.47,249.36,235.79,249.36808666666667
2100.0,230.61,252.17,236.7,252.18167680833332
2250.0,230.77,252.65,237.23,252.6579491625
2400.0,230.97,255.15,238.01,255.15693256666665
2550.0,231.18,254.98,238.51,254.989590925
2700.0,231.42,255.42,238.92,255.42238262499998
2850.0,231.69,258.67,239.81,258.6769643833333
3000.0,231.98,261.24,240.75,261.2484718833333
3150.0,232.29,262.85,241.56,262.8558103375
3300.0,232.62,263.65,242.23,263.6620436416667
3450.0,232.97,269.28,243.65,269.29406820833333
3600.0,233.34,267.55,244.11,267.5616326
3750.0,233.73,272.88,245.49,272.89142502083337
3900.0,234.15,275.91,246.73,275.92175115
4050.0,234.59,276.35,247.52,276.36313028750004
4200.0,235.06,278.23,248.48,278.23746223333336
4350.0,235.56,278.85,249.27,278.8563862958333
4500.0,236.08,279.68,249.99,279.69157655000004
4650.0,236.63,284.29,251.39,284.30048835
4800.0,237.2,288.09,252.81,288.1065969
4950.0,237.8,289.37,253.94,289.3814015
5100.0,238.41,287.53,254.39,287.53782375
5250.0,239.05,289.63,255.31,289.64996889583335
5400.0,239.71,293.65,256.73,293.66761340000005
5550.0,240.4,295.07,257.82,295.0886307541667
5700.0,241.11,295.31,258.66,295.32464360833336
5850.0,241.83,300.37,260.15,300.387481525
6000.0,242.57,298.78,260.99,298.7868570666667
6150.0,243.33,300.33,261.82,300.34906755416665
6300.0,244.11,302.06,262.95,302.07507557499997
6450.0,244.91,304.6,264.14,304.6192029375
6600.0,245.72,308.34,265.62,308.35937625
6750.0,246.55,310.21,266.89,310.22729676250003
6900.0,247.39,310.48,267.87,310.49082706666667
7050.0,248.24,315.05,269.46,315.06544555
7200.0,249.12,316.73,270.76,316.7447878
7350.0,250.01,318.55,272.05,318.5699274166667
7500.0,250.92,318.61,273.01,318.62360534166663
7650.0,251.84,323.08,274.63,323.09394308749995
7800.0,252.77,324.88,275.91,324.8957693166667
7950.0,253.71,329.22,277.66,329.23824790000003
8100.0,254.67,328.84,278.67,328.8611503
8250.0,255.65,330.2,279.88,330.22196
8400.0,256.65,329.61,280.75,329.62838113333333
8550.0,257.66,330.37,281.7,330.3923515625
8700.0,258.69,333.06,283.06,333.081248625
8850.0,259.73,334.65,284.27,334.67250394999996
9000.0,260.78,337.91,285.75,337.86616964999996
9150.0,261.84,339.68,287.14,339.6452841166667
9300.0,262.91,340.08,288.21,340.09588628333336
9450.0,263.98,342.27,289.52,342.2857555125
9600.0,265.06,344.83,290.97,344.8459325333333
9750.0,266.15,347.66,292.49,347.68395653333334
9900.0,267.25,347.82,293.66,347.838213225
10050.0,268.37,351.01,295.15,351.0325709625
10200.0,269.49,353.01,296.61,353.02747265
10350.0,270.63,356.97,298.34,356.99342956249995
10500.0,271.77,356.33,299.48,356.3507516583333
10650.0,272.93,358.09,300.8,358.1099017125
10800.0,274.11,357.89,301.86,357.9072884
10950.0,275.3,359.46,303.11,359.48537218333337
11100.0,276.5,364.48,304.99,364.506850375
11250.0,277.71,365.51,306.35,365.533080175
11400.0,278.89,368.23,307.91,368.25035295000004
11550.0,280.07,368.93,309.09,368.95474959583333
11700.0,281.26,374.34,311.13,374.361383875
11850.0,282.46,374.06,312.28,374.0860128875
12000.0,283.67,376.39,313.83,376.41143086666665
12150.0,284.89,376.6,314.99,376.6257232875
12300.0,286.12,379.26,316.5,379.28129097500005
12450.0,287.37,381.99,318.12,382.0174165791667
12600.0,288.62,382.04,319.35,382.06050175
12750.0,289.89,381.78,320.38,381.80226550000003
12900.0,291.16,383.77,321.73,383.7960767916667
13050.0,292.44,385.6,323.14,385.6256325625
13200.0,293.73,389.19,324.8,389.21891193333335
13350.0,295.02,391.38,326.41,391.40006067083334
13500.0,296.32,393.03,327.88,393.0548584
13650.0,297.61,393.35,329.14,393.3688872
13800.0,298.92,398.36,331.03,398.38729136666666
13950.0,300.23,400.35,332.7,400.3701112875
14100.0,301.55,401.16,334.1,401.1797606
14250.0,302.88,405.06,335.93,405.08520998333336
14400.0,304.22,403.23,336.97,403.2520411
