Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,347.0,347.0,347.0,347.0
150.0,347.0,345.4,346.74,345.3958333333333
300.0,347.0,343.79,346.41,343.7916666666667
450.0,347.0,342.19,346.03,342.1875
600.0,347.0,340.59,345.61,340.5833333333333
750.0,346.99,338.98,345.17,338.9791666666667
900.0,346.99,337.38,344.69,337.375
1050.0,346.97,335.78,344.2,335.7708333333333
1200.0,346.94,334.17,343.68,334.1666666666667
1350.0,346.9,332.57,343.14,332.5625
1500.0,346.84,330.96,342.58,330.9583333333333
1650.0,346.77,329.36,342.0,329.3541666666667
1800.0,346.68,327.76,341.41,327.75
1950.0,346.57,326.15,340.8,326.1458333333333
2100.0,346.44,324.55,340.17,324.5416666666667
2250.0,346.29,322.94,339.53,322.9375
2400.0,346.12,321.34,338.87,321.3333333333333
2550.0,345.93,319.74,338.2,319.7291666666667
2700.0,345.72,318.13,337.51,318.125
2850.0,345.5,316.53,336.81,316.5208333333333
3000.0,345.25,314.93,336.1,314.9166666666667
3150.0,344.98,313.32,335.37,313.3125
3300.0,344.7,311.72,334.63,311.7083333333333
3450.0,344.39,310.11,333.88,310.1041666666667
3600.0,344.06,308.51,333.11,308.5
3750.0,343.72,306.91,332.33,306.8958333333333
3900.0,343.36,305.3,331.54,305.2916666666667
4050.0,342.98,303.7,330.73,303.6875
4200.0,342.58,302.09,329.92,302.0833333333333
4350.0,342.16,300.49,329.07,300.4791666666667
4500.0,341.72,298.89,328.21,298.875
4650.0,341.27,297.28,327.34,297.2708333333333
4800.0,340.79,295.68,326.46,295.6666666666667
4950.0,340.3,294.07,325.57,294.0625
5100.0,339.79,292.47,324.67,292.4583333333333
5250.0,339.26,290.87,323.77,290.8541666666667
5400.0,338.71,289.26,322.85,289.25
5550.0,338.15,287.66,321.92,287.6458333333333
5700.0,337.57,286.05,320.98,286.0416666666667
5850.0,336.97,284.45,320.03,284.4375
6000.0,336.36,282.85,319.07,282.83333333333337
6150.0,335.73,281.24,318.1,281.2291666666667
6300.0,335.09,279.64,317.12,279.625
6450.0,334.43,278.03,316.14,278.02083333333337
6600.0,333.76,276.43,315.14,276.4166666666667
6750.0,333.08,274.83,314.13,274.8125
6900.0,332.37,273.22,313.12,273.20833333333337
7050.0,331.66,271.62,312.09,271.6041666666667
7200.0,330.93,270.01,311.06,270.0
7350.0,330.19,268.41,310.02,268.39583333333337
7500.0,329.44,266.81,308.97,266.7916666666667
7650.0,328.67,265.2,307.91,265.1875
7800.0,327.89,263.6,306.84,263.58333333333337
7950.0,327.1,261.99,305.77,261.9791666666667
8100.0,326.29,260.39,304.68,260.375
8250.0,325.48,258.79,303.59,258.77083333333337
8400.0,324.65,257.18,302.49,257.1666666666667
8550.0,323.8,255.58,301.36,255.5625
8700.0,322.92,253.98,300.21,253.95833333333334
8850.0,322.04,252.37,299.05,252.35416666666669
9000.0,321.13,250.77,297.89,250.75
9150.0,320.22,249.16,296.72,249.14583333333334
9300.0,319.29,247.56,295.55,247.54166666666669
9450.0,318.36,245.96,294.37,245.9375
9600.0,317.4,244.35,293.19,244.33333333333334
9750.0,316.44,242.75,292.0,242.72916666666669
9900.0,315.47,241.14,290.8,241.125
10050.0,314.49,239.54,289.6,239.52083333333334
10200.0,313.49,237.93,288.39,237.91666666666669
10350.0,312.49,236.33,287.17,236.3125
10500.0,311.47,234.73,285.95,234.70833333333334
10650.0,310.45,233.12,284.72,233.10416666666669
10800.0,309.42,231.52,283.49,231.5
10950.0,308.38,229.91,282.25,229.89583333333334
11100.0,307.33,228.31,281.01,228.29166666666669
11250.0,306.27,226.71,279.76,226.6875
11400.0,305.2,225.1,278.5,225.08333333333334
11550.0,304.12,223.5,277.24,223.47916666666669
11700.0,303.04,221.89,275.97,221.875
11850.0,301.94,220.29,274.7,220.27083333333334
12000.0,300.84,218.69,273.42,218.66666666666669
12150.0,299.73,217.08,272.14,217.0625
12300.0,298.61,215.48,270.85,215.45833333333334
12450.0,297.49,213.87,269.56,213.85416666666669
12600.0,296.36,212.27,268.26,212.25
12750.0,295.21,210.67,266.95,210.64583333333334
12900.0,294.02,209.06,265.59,209.04166666666669
13050.0,292.82,207.46,264.23,207.4375
13200.0,291.61,205.85,262.87,205.83333333333334
13350.0,290.39,204.25,261.5,204.22916666666669
13500.0,289.17,202.65,260.14,202.625
13650.0,287.94,201.04,258.77,201.02083333333334
13800.0,286.7,199.44,257.4,199.41666666666669
13950.0,285.45,197.83,256.02,197.8125
14100.0,284.19,196.23,254.64,196.20833333333334
14250.0,282.93,194.63,253.26,194.60416666666669
14400.0,281.67,193.02,251.87,193.0
